                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.54044,                 1.0103,                0.45788,                0.96576,                0.82519,                0.83981,                0.85863,                0.73888,                0.84157,                0.80994,                0.84715,                0.70657,                0.53225,                  1.291,                0.56676,                 1.0439,             0.00026408,             0.00026408,             0.00026408
                     80,                0.52845,                0.98804,                0.44052,                0.96658,                0.83144,                0.81762,                0.85585,                0.73697,                0.82922,                0.81146,                0.84325,                0.70121,                0.53169,                 1.2688,                0.58514,                 1.0438,             0.00025309,             0.00025309,             0.00025309
                     81,                0.53063,                0.99442,                0.44282,                0.96541,                0.84078,                0.81929,                0.85194,                0.73274,                0.83592,                0.81397,                0.84352,                0.69757,                0.53852,                 1.3081,                0.58834,                 1.0618,             0.00024209,             0.00024209,             0.00024209
                     82,                 0.5391,                 1.0117,                0.45444,                0.96847,                0.82118,                0.82905,                0.85294,                0.73144,                 0.8147,                0.82149,                0.84237,                0.70062,                0.54329,                 1.2861,                0.58021,                 1.0631,             0.00023109,             0.00023109,             0.00023109
                     83,                0.53161,                 1.0028,                0.44649,                0.96367,                0.82381,                 0.8167,                0.84843,                0.72923,                0.83742,                  0.798,                0.84197,                 0.6989,                0.53992,                 1.2881,                0.59185,                 1.0616,             0.00022009,             0.00022009,             0.00022009
                     84,                0.52513,                0.98405,                0.43994,                0.96135,                0.82076,                 0.8283,                0.85119,                0.73472,                 0.8189,                0.82593,                0.84334,                0.70458,                0.53244,                 1.2899,                0.59074,                  1.062,             0.00020909,             0.00020909,             0.00020909
                     85,                0.52964,                0.99603,                0.44377,                0.96509,                0.82753,                0.83182,                0.84831,                 0.7318,                0.82114,                0.82572,                0.84184,                0.70413,                0.54817,                 1.2762,                0.59014,                 1.0705,             0.00019809,             0.00019809,             0.00019809
                     86,                0.52155,                0.98158,                 0.4348,                0.96161,                0.80773,                 0.8423,                0.84741,                0.73084,                0.82927,                0.81006,                0.83671,                0.69976,                0.53052,                 1.2635,                0.58135,                 1.0581,             0.00018709,             0.00018709,             0.00018709
                     87,                0.52442,                0.97603,                0.43148,                0.96024,                0.83446,                0.82884,                0.85353,                0.73934,                 0.8382,                0.81514,                0.84384,                0.70368,                0.52731,                 1.2876,                0.58075,                 1.0584,             0.00017609,             0.00017609,             0.00017609
                     88,                0.51693,                0.97362,                0.43767,                0.95976,                0.82371,                0.83872,                0.85469,                0.73873,                0.83785,                0.81515,                0.84479,                0.70619,                0.52451,                 1.2523,                0.57388,                 1.0515,             0.00016509,             0.00016509,             0.00016509
                     89,                0.52364,                0.98551,                0.42896,                0.95888,                0.82548,                0.83389,                0.85542,                0.73947,                0.82818,                0.81828,                0.84368,                0.70485,                0.51778,                 1.2657,                0.57507,                  1.045,              0.0001541,              0.0001541,              0.0001541
                     90,                0.51941,                0.96688,                0.42923,                0.96388,                0.83972,                0.82131,                0.85981,                0.74295,                0.83574,                0.81132,                0.84398,                0.70536,                0.52471,                 1.2714,                0.57917,                 1.0557,              0.0001431,              0.0001431,              0.0001431
                     91,                0.46107,                0.86168,                0.35893,                0.94601,                0.84573,                0.80823,                0.85637,                0.74303,                0.84461,                0.80712,                0.84737,                0.70726,                0.51628,                 1.2743,                0.56706,                  1.042,              0.0001321,              0.0001321,              0.0001321
                     92,                0.44945,                0.82885,                 0.3471,                0.93724,                0.84308,                0.81193,                0.85513,                0.74316,                0.84233,                0.80618,                 0.8467,                 0.7084,                0.51874,                 1.2649,                0.57307,                 1.0451,              0.0001211,              0.0001211,              0.0001211
                     93,                0.44687,                0.82292,                0.34037,                0.94113,                0.83046,                0.83652,                  0.859,                0.74174,                0.83473,                0.82259,                0.84779,                0.71056,                0.52074,                 1.2608,                0.56498,                 1.0537,              0.0001101,              0.0001101,              0.0001101
                     94,                0.43985,                0.81045,                0.33989,                0.93158,                0.82564,                0.83289,                0.85921,                0.74164,                0.82174,                0.82875,                0.85007,                0.71004,                0.51735,                   1.27,                 0.5554,                 1.0514,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.44391,                0.81531,                0.33545,                0.93783,                0.80759,                0.85589,                0.85891,                0.74445,                0.79486,                0.85782,                0.84978,                0.71429,                 0.5256,                 1.2672,                0.56188,                 1.0606,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.43964,                0.79968,                0.33006,                0.93143,                0.79601,                0.85619,                0.85585,                0.74412,                0.78946,                0.85491,                0.84603,                0.71308,                0.51825,                 1.2675,                0.56286,                 1.0582,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.43792,                0.79389,                0.32191,                0.93071,                0.85465,                0.81462,                0.85887,                0.74207,                0.85158,                0.81032,                0.84617,                0.70944,                0.51834,                 1.2829,                0.56125,                 1.0579,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.43296,                0.77636,                0.31973,                0.92577,                0.81879,                0.84164,                0.85653,                0.73846,                0.81113,                0.84036,                0.84288,                0.70579,                 0.5235,                 1.2956,                0.56345,                 1.0639,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.43611,                0.79324,                0.32719,                0.93398,                0.82595,                0.83596,                0.85916,                0.74416,                0.81718,                0.83377,                0.84739,                 0.7115,                0.51764,                 1.2697,                0.55759,                 1.0546,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.42936,                0.78339,                0.32022,                0.92453,                0.80424,                0.85844,                0.85939,                0.74594,                0.85165,                 0.7953,                0.84736,                0.71554,                 0.5183,                 1.2784,                 0.5597,                 1.0571,             3.3108e-05,             3.3108e-05,             3.3108e-05
