                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.58857,                 1.1368,                0.52887,                0.99455,                0.84629,                0.81942,                0.87369,                0.75266,                0.84197,                 0.8134,                0.86226,                 0.7164,                0.53851,                 1.2001,                0.59662,                 1.0294,             0.00027508,             0.00027508,             0.00027508
                     79,                0.58721,                 1.1165,                0.52636,                0.99273,                0.82906,                0.85749,                0.87593,                0.75336,                0.81602,                0.85808,                0.86691,                  0.722,                0.53899,                 1.1907,                 0.5591,                 1.0324,             0.00026408,             0.00026408,             0.00026408
                     80,                0.57182,                 1.0915,                0.50867,                0.99243,                0.79941,                0.84392,                0.87243,                0.75485,                0.84053,                0.79924,                0.86575,                0.72286,                0.52687,                 1.1885,                0.59337,                 1.0232,             0.00025309,             0.00025309,             0.00025309
                     81,                0.57731,                  1.094,                0.50878,                0.99254,                0.81316,                0.85027,                0.87229,                0.75231,                0.82601,                0.82721,                0.86109,                0.71688,                0.52513,                 1.1922,                0.58717,                 1.0285,             0.00024209,             0.00024209,             0.00024209
                     82,                0.58529,                 1.1176,                0.52234,                0.99521,                0.82968,                0.83611,                0.87016,                0.75358,                0.83148,                0.82571,                0.85969,                0.72229,                0.52503,                 1.2031,                0.57901,                 1.0223,             0.00023109,             0.00023109,             0.00023109
                     83,                0.57636,                 1.0996,                0.51194,                0.98812,                0.82972,                0.83625,                0.87259,                0.74806,                0.82565,                0.82975,                0.86328,                0.72197,                0.54013,                 1.1982,                0.59747,                 1.0418,             0.00022009,             0.00022009,             0.00022009
                     84,                0.56766,                 1.0851,                0.50442,                0.98405,                0.79889,                0.85324,                0.87156,                0.74904,                0.79495,                0.84696,                0.86189,                0.71899,                0.52948,                 1.1934,                0.58433,                 1.0272,             0.00020909,             0.00020909,             0.00020909
                     85,                0.57405,                 1.0933,                0.50745,                0.99097,                0.83073,                0.84264,                0.87013,                0.74928,                0.81543,                0.84307,                0.86026,                0.72173,                0.52775,                 1.1936,                0.58678,                 1.0273,             0.00019809,             0.00019809,             0.00019809
                     86,                0.56155,                 1.0697,                 0.4967,                0.98311,                 0.8194,                0.84805,                 0.8678,                0.74898,                0.81328,                0.84238,                0.85463,                0.71757,                 0.5199,                 1.1719,                0.58854,                 1.0237,             0.00018709,             0.00018709,             0.00018709
                     87,                0.56641,                  1.075,                0.49044,                0.98323,                0.83498,                0.84786,                0.87056,                0.74963,                0.82464,                0.83779,                0.85668,                0.72016,                0.53062,                  1.189,                 0.5772,                 1.0375,             0.00017609,             0.00017609,             0.00017609
                     88,                0.55973,                  1.069,                0.49519,                0.98288,                0.84597,                0.81966,                0.87191,                0.75464,                0.84133,                 0.8165,                 0.8602,                0.72598,                0.51939,                  1.173,                0.57288,                 1.0257,             0.00016509,             0.00016509,             0.00016509
                     89,                0.56531,                 1.0728,                0.48324,                0.98073,                0.83095,                0.83186,                0.86823,                0.75082,                 0.8233,                0.82513,                0.85705,                0.71927,                0.52955,                 1.2101,                0.58473,                 1.0389,              0.0001541,              0.0001541,              0.0001541
                     90,                0.55968,                 1.0555,                0.48684,                 0.9875,                0.84778,                0.82569,                0.87145,                0.75214,                0.84115,                0.81974,                0.85953,                0.71896,                0.52824,                 1.1806,                0.58285,                 1.0326,              0.0001431,              0.0001431,              0.0001431
                     91,                0.50504,                0.95049,                0.41423,                0.97417,                0.84177,                0.85056,                0.87494,                0.75673,                0.83336,                0.84873,                0.86747,                0.72393,                0.51949,                  1.209,                0.55826,                  1.021,              0.0001321,              0.0001321,              0.0001321
                     92,                0.49224,                0.91799,                 0.3987,                 0.9649,                0.84626,                0.82525,                0.87245,                 0.7573,                0.83986,                0.81925,                0.86594,                0.72479,                0.51665,                 1.1795,                0.57485,                 1.0215,              0.0001211,              0.0001211,              0.0001211
                     93,                0.49073,                0.90789,                0.38894,                0.97081,                0.85122,                 0.8299,                0.87532,                 0.7569,                0.84157,                0.82023,                 0.8632,                0.72384,                0.51339,                 1.1836,                0.56188,                 1.0212,              0.0001101,              0.0001101,              0.0001101
                     94,                  0.478,                0.89253,                0.39054,                0.95497,                0.83729,                 0.8366,                0.87378,                0.75654,                0.83124,                0.83034,                0.86139,                 0.7244,                0.51775,                 1.2055,                0.56884,                 1.0329,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.48491,                0.89547,                 0.3909,                0.96428,                0.84021,                0.84948,                0.87509,                0.75682,                0.83316,                0.84415,                0.86432,                 0.7286,                0.52364,                 1.2031,                0.55566,                 1.0375,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.48181,                0.88865,                0.38065,                0.95853,                0.83199,                0.83538,                0.86928,                0.75326,                0.82627,                0.83032,                0.85965,                0.72399,                0.52537,                 1.2088,                 0.5745,                 1.0414,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.47563,                0.87562,                0.36824,                0.95494,                0.84232,                0.84332,                0.87127,                0.75663,                0.83396,                0.83812,                 0.8627,                0.72501,                0.51969,                 1.2176,                0.56459,                 1.0356,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.47382,                0.86188,                0.36856,                0.95194,                0.83496,                0.84602,                0.87447,                 0.7559,                 0.8267,                0.83775,                0.86149,                 0.7222,                0.52004,                 1.2147,                0.57386,                 1.0373,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.47068,                0.86982,                0.37321,                0.95625,                0.83794,                0.83543,                0.87323,                0.75689,                0.82975,                0.82876,                0.86073,                0.72305,                0.52005,                 1.2042,                0.56543,                 1.0386,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.46672,                0.86116,                0.36453,                0.94626,                0.83747,                0.84644,                0.87298,                0.75809,                0.82671,                0.83803,                0.86001,                 0.7261,                0.52216,                 1.2103,                0.56363,                 1.0424,             3.3108e-05,             3.3108e-05,             3.3108e-05
